arm,tp,conc,isl,osl,image,revision,total_tput,output_tput,total_token_throughput,request_throughput,completed,num_prompts,duration,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2el_ms,success,server_log,stdout,picklog
json,2,256,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,70964.72,7887.24,70964.71636094803,8.55400047424604,2560,2560,299.27517629996873,1156.0873140354488,15719.617798400564,30.863678866541658,36.05962646607183,29631.041595384886,True,json_isl8192_osl1024_tp2_conc256.server.log,json_isl8192_osl1024_tp2_conc256.stdout,
json,2,32,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,37939.28,4242.67,37939.27938768712,4.584452262592918,320,320,69.80114126414992,273.5541531299532,1951.2318409630097,7.062421290046037,10.563215153361686,6819.222436471318,True,json_isl8192_osl1024_tp2_conc32.server.log,json_isl8192_osl1024_tp2_conc32.stdout,
json,2,4,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,9532.6,1060.43,9532.59668060075,1.1524802926479272,40,40,34.70775184198283,243.94498841138557,1055.413975608535,3.4245727540986928,4.349619060947634,3393.095811508829,True,json_isl8192_osl1024_tp2_conc4.server.log,json_isl8192_osl1024_tp2_conc4.stdout,
json,2,64,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,52182.97,5789.24,52182.967053004504,6.28063583495291,640,640,101.9005108429119,409.482533814662,3698.116959116888,10.42690141733425,14.463736745810866,10028.42660213646,True,json_isl8192_osl1024_tp2_conc64.server.log,json_isl8192_osl1024_tp2_conc64.stdout,
json,2,8,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,15572.79,1750.64,15572.792315193308,1.89082559322889,80,80,42.30956058902666,195.89562425098848,712.3385345190726,4.2789624452170605,5.555678667266501,4165.203782782191,True,json_isl8192_osl1024_tp2_conc8.server.log,json_isl8192_osl1024_tp2_conc8.stdout,
json,4,128,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,88466.99,9799.09,88466.98669353192,10.649954848494305,1280,1280,120.18830297491513,464.66074054715136,5097.462387729904,12.348462271774848,15.804274022021701,11836.255981335125,True,json_isl8192_osl1024_tp4_conc128.server.log,json_isl8192_osl1024_tp4_conc128.stdout,
json,4,16,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,30014.17,3325.76,30014.171472751987,3.63406739801062,160,160,44.02780204010196,159.404312283732,714.6116188564338,4.494536053508402,6.34432760853666,4269.5602846943075,True,json_isl8192_osl1024_tp4_conc16.server.log,json_isl8192_osl1024_tp4_conc16.stdout,
json,4,256,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,104121.84,11572.42,104121.840003981,12.550719772390353,2560,2560,203.97236544406042,831.0707207984706,10856.253294865593,20.950106527686273,25.035850747023712,20158.02944759107,True,json_isl8192_osl1024_tp4_conc256.server.log,json_isl8192_osl1024_tp4_conc256.stdout,
json,4,32,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,47388.77,5299.38,47388.76822952247,5.7262960508900145,320,320,55.882545568048954,208.09072069678223,1363.0995104205797,5.645561380449402,8.620038180665166,5442.063638732361,True,json_isl8192_osl1024_tp4_conc32.server.log,json_isl8192_osl1024_tp4_conc32.stdout,
json,4,4,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,10276.06,1143.13,10276.055186214257,1.2423635956795884,40,40,32.196693575941026,231.23600877006538,1004.0957867749967,3.169137135712082,4.055766209255998,3146.2876697361935,True,json_isl8192_osl1024_tp4_conc4.server.log,json_isl8192_osl1024_tp4_conc4.stdout,
