speedup,M,N,K,pm_cfg
1.9537,32,4096,8192,BM32BN32BK256W8S3
1.1471,32,9216,4096,BM32BN32BK256W8S3
2.0721,128,3072,4096,BM32BN64BK256W8S3
1.6893,256,4096,1536,BM64BN64BK128W8S3
1.9834,64,4096,8192,BM32BN32BK256W4S3
0.7926,64,9216,4096,BM32BN32BK256W4S3
1.8390,256,3072,4096,BM64BN64BK128W8S3
2.1834,128,4096,8192,BM32BN64BK256W8S3
1.5006,128,9216,4096,BM64BN128BK64W8S3
2.0290,256,4096,8192,BM64BN64BK128W8S3
1.3477,256,9216,4096,BM128BN128BK64W8S3
